Symbol,Date,Adj Close
IBM,11/14/14,135.422775
MSFT,8/13/13,28.140089
MSFT,6/17/16,47.203636
IBM,9/29/17,134.25061
MSFT,7/9/12,25.240591
IBM,5/28/14,149.122131
IBM,10/27/09,90.048607
AAPL,8/18/17,153.363708
MSFT,4/22/13,26.54327
AAPL,2/22/10,25.081959
AAPL,4/18/16,101.670097
AAPL,6/5/18,190.41156
MSFT,8/29/18,110.654228
MSFT,2/17/12,26.12089
AAPL,10/5/12,82.02034
IBM,1/27/12,147.983154
AAPL,8/21/13,64.643097
MSFT,10/12/11,22.220304
MSFT,4/28/09,15.536595
IBM,3/15/13,170.513962
AAPL,1/4/11,41.459957
MSFT,6/19/13,29.989286
AAPL,10/8/10,36.801991
IBM,9/24/09,90.265068
AAPL,12/2/10,39.815521
IBM,1/3/14,150.317719
MSFT,9/15/10,20.195763
MSFT,12/9/10,21.905319
MSFT,11/21/13,32.901669
AAPL,4/13/10,30.339388
AAPL,11/30/12,73.896507
MSFT,7/24/09,18.396746
AAPL,11/9/09,25.212112
IBM,1/14/10,99.194389
AAPL,7/26/16,92.00119
IBM,6/15/10,98.24131
AAPL,8/1/17,145.537842
IBM,8/9/13,150.460144
AAPL,5/9/16,88.308601
MSFT,5/15/12,25.417273
AAPL,12/9/16,109.593918
MSFT,4/23/10,24.647669
MSFT,3/22/12,26.747787
IBM,4/1/10,96.580605
MSFT,7/28/14,39.24646
IBM,3/4/14,150.979858
MSFT,5/9/11,21.017681
IBM,7/3/12,153.466278
AAPL,7/19/16,95.046654
MSFT,12/29/14,42.885925
MSFT,9/25/18,113.054596
AAPL,5/3/17,142.051422
MSFT,4/7/09,14.624516
AAPL,9/29/09,23.199755
AAPL,9/10/09,21.595373
MSFT,12/29/16,59.999939
IBM,10/2/13,148.168976
AAPL,8/1/16,100.928177
IBM,3/19/14,149.578918
MSFT,1/27/17,62.747162
AAPL,10/17/12,81.017365
IBM,7/24/14,159.026657
MSFT,10/20/10,20.348516
IBM,11/2/16,135.481613
IBM,9/1/17,133.325241
MSFT,3/24/10,23.604753
IBM,2/8/12,150.501617
MSFT,8/16/11,20.893353
IBM,8/14/17,131.696625
MSFT,10/27/16,56.94434
IBM,9/26/12,160.469498
MSFT,10/6/10,19.64102
MSFT,3/12/13,24.029274
AAPL,4/6/09,14.82366
MSFT,5/21/12,25.030254
AAPL,12/3/10,39.726658
IBM,2/13/15,133.249191
MSFT,2/20/09,14.032053
AAPL,4/3/12,78.757515
MSFT,5/24/13,29.711857
IBM,7/10/12,145.892075
MSFT,9/23/15,40.457005
MSFT,6/12/18,99.691162
AAPL,2/2/10,24.511295
AAPL,3/29/12,76.322151
AAPL,9/21/16,108.651367
MSFT,8/11/15,42.519016
IBM,3/1/12,154.074066
IBM,11/11/09,95.35585
IBM,11/14/16,142.342865
AAPL,8/9/16,104.115845
AAPL,4/1/11,43.120655
IBM,7/25/13,157.204468
AAPL,12/23/10,40.497566
MSFT,11/26/12,23.387943
IBM,3/7/18,149.423523
MSFT,7/26/11,22.998249
IBM,4/5/16,130.082001
IBM,8/20/15,129.832367
AAPL,6/21/11,40.710316
MSFT,3/14/18,91.951813
MSFT,11/12/14,43.811672
MSFT,5/23/18,97.083504
MSFT,5/24/10,21.008265
IBM,5/29/12,153.881409
MSFT,12/29/09,24.873674
IBM,1/26/10,94.276276
IBM,11/20/17,140.667374
IBM,3/27/13,167.316605
IBM,7/25/18,139.917084
AAPL,1/3/13,68.444672
AAPL,4/4/11,42.698917
MSFT,11/15/13,33.038189
AAPL,12/7/16,106.785538
IBM,1/29/16,107.125351
AAPL,12/29/11,50.699566
AAPL,3/5/14,69.315842
IBM,8/23/12,153.940613
AAPL,3/18/13,57.873802
IBM,11/23/15,118.860306
AAPL,2/28/14,68.518982
IBM,10/24/16,134.251175
IBM,1/31/12,149.64592
IBM,2/8/16,110.11879
MSFT,9/6/12,26.551155
AAPL,11/19/13,67.245422
MSFT,1/27/09,13.673252
AAPL,4/20/10,30.609709
AAPL,12/28/17,167.185913
AAPL,11/16/15,107.425018
MSFT,11/17/10,20.683857
IBM,3/30/11,125.494492
AAPL,11/14/14,105.625313
AAPL,2/4/09,11.707504
AAPL,4/28/16,89.703918
MSFT,1/13/11,22.803205
MSFT,6/29/16,47.589706
IBM,7/12/11,134.107529
AAPL,12/31/15,99.03273
IBM,10/10/14,152.339127
MSFT,9/7/11,21.429075
AAPL,3/31/09,13.155455
IBM,3/15/17,159.428436
IBM,6/30/16,134.171234
AAPL,4/16/15,117.17765
AAPL,11/23/11,45.927708
AAPL,3/20/12,75.834084
IBM,11/13/15,113.100143
MSFT,4/1/16,51.962627
AAPL,3/3/11,44.997871
AAPL,9/6/13,64.110367
IBM,5/10/11,131.27977
IBM,3/20/18,147.422607
IBM,12/15/16,151.169022
AAPL,3/8/11,44.522297
AAPL,11/2/09,23.69158
AAPL,8/21/17,153.081329
AAPL,11/29/10,39.655334
AAPL,1/27/17,117.288101
AAPL,2/24/10,25.112
AAPL,9/24/14,93.720238
MSFT,8/31/11,21.923595
AAPL,8/10/10,32.464397
AAPL,8/19/16,104.642128
MSFT,11/9/09,22.870798
IBM,12/15/11,145.667801
MSFT,7/6/18,99.543556
AAPL,7/16/09,18.461687
AAPL,7/13/18,188.461243
MSFT,5/18/09,16.058908
AAPL,11/5/14,100.269127
MSFT,5/13/14,36.077816
MSFT,9/25/09,20.156914
MSFT,4/25/18,90.442955
AAPL,2/8/12,59.655083
AAPL,7/13/17,143.32637
IBM,1/18/13,153.642532
IBM,9/28/11,137.400009
MSFT,10/7/10,19.721418
MSFT,8/4/17,70.149124
IBM,7/21/14,155.450943
AAPL,8/3/09,20.828218
IBM,9/6/18,141.206879
AAPL,5/22/14,79.511116
MSFT,8/14/09,18.58502
MSFT,4/2/12,26.990191
MSFT,4/13/09,15.271548
IBM,3/2/15,133.315643
IBM,1/19/17,150.080353
IBM,6/18/15,141.913086
AAPL,9/26/13,62.566223
IBM,8/18/17,129.272202
AAPL,6/23/10,33.911079
MSFT,11/18/16,57.567513
MSFT,10/26/18,105.655914
IBM,12/20/18,110.40686
AAPL,7/19/18,189.003006
MSFT,10/30/09,21.876755
AAPL,11/8/10,39.874344
MSFT,7/3/18,97.467278
IBM,7/19/17,135.090393
MSFT,3/22/10,23.564949
AAPL,5/26/15,120.884575
MSFT,7/1/14,37.372051
AAPL,1/29/15,109.991692
MSFT,8/24/15,38.437386
MSFT,4/20/11,20.960718
IBM,8/10/12,156.764542
AAPL,8/6/12,77.910294
AAPL,10/15/15,104.793709
IBM,8/8/14,152.912643
IBM,10/26/12,152.029144
IBM,10/27/11,143.846359
MSFT,6/15/16,46.789322
AAPL,8/11/16,103.273819
AAPL,9/12/13,60.825195
AAPL,12/6/11,48.926224
MSFT,4/16/12,25.978786
AAPL,12/5/11,49.184029
AAPL,6/29/11,41.804108
MSFT,10/6/15,43.112953
MSFT,3/6/13,24.18425
IBM,10/31/17,142.560287
AAPL,7/20/18,188.569595
IBM,9/16/10,98.636826
MSFT,12/31/09,24.15258
AAPL,5/13/14,77.742241
AAPL,1/26/17,117.278488
AAPL,11/3/17,167.969772
MSFT,12/22/15,51.387943
MSFT,9/25/12,25.738106
IBM,6/22/10,97.870415
AAPL,5/14/13,56.740749
MSFT,11/16/10,20.877998
IBM,7/19/12,153.004166
AAPL,11/2/18,205.085831
MSFT,9/29/15,40.060467
MSFT,11/21/18,102.29287
MSFT,7/2/12,25.711756
MSFT,5/18/11,20.221746
AAPL,8/29/17,158.631622
AAPL,7/30/10,32.194061
